title,labels,body
Video preview (optional) prepared,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Video preview (optional) prepared

Definition of Done:
- [ ] Completed and validated
"
Store descriptions (short/full) reviewed with keywords,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Store descriptions (short/full) reviewed with keywords

Definition of Done:
- [ ] Completed and validated
"
iOS: Archive in Xcode → upload to App Store Connect,store,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] iOS: Archive in Xcode → upload to App Store Connect

Definition of Done:
- [ ] Completed and validated
"
iOS: TestFlight build distributed to testers,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] iOS: TestFlight build distributed to testers

Definition of Done:
- [ ] Completed and validated
"
Android: Generate signed AAB (release keystore),task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Android: Generate signed AAB (release keystore)

Definition of Done:
- [ ] Completed and validated
"
Android: Upload to Play Console (internal test or closed track),task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Android: Upload to Play Console (internal test or closed track)

Definition of Done:
- [ ] Completed and validated
"
Crash-free smoke tests on 3–5 devices per platform,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Crash-free smoke tests on 3–5 devices per platform

Definition of Done:
- [ ] Completed and validated
"
iOS: Content rating questionnaire completed,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] iOS: Content rating questionnaire completed

Definition of Done:
- [ ] Completed and validated
"
iOS: App Review notes + demo credentials added (if needed),task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] iOS: App Review notes + demo credentials added (if needed)

Definition of Done:
- [ ] Completed and validated
"
Android: Content rating questionnaire completed,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Android: Content rating questionnaire completed

Definition of Done:
- [ ] Completed and validated
"
Android: Target API level compliant & Play App Signing enabled,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Android: Target API level compliant & Play App Signing enabled

Definition of Done:
- [ ] Completed and validated
"
"Categories, age ratings, pricing set on both stores",task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Categories, age ratings, pricing set on both stores

Definition of Done:
- [ ] Completed and validated
"
iOS: Submit for review,store,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] iOS: Submit for review

Definition of Done:
- [ ] Completed and validated
"
Android: Promote from internal/closed to production (staged rollout %),task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Android: Promote from internal/closed to production (staged rollout %)

Definition of Done:
- [ ] Completed and validated
"
Monitor review feedback; respond to required changes,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Monitor review feedback; respond to required changes

Definition of Done:
- [ ] Completed and validated
"
Post-approval: publish release notes,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Post-approval: publish release notes

Definition of Done:
- [ ] Completed and validated
"
"Enable production Remote Config flags (ads, events)",task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Enable production Remote Config flags (ads, events)

Definition of Done:
- [ ] Completed and validated
"
"Verify analytics dashboards (events, retention proxies, ARPDAU)",task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Verify analytics dashboards (events, retention proxies, ARPDAU)

Definition of Done:
- [ ] Completed and validated
"
In-app review prompts gated by engagement rules,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] In-app review prompts gated by engagement rules

Definition of Done:
- [ ] Completed and validated
"
Cross-promo slot updated (promote next title),task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Cross-promo slot updated (promote next title)

Definition of Done:
- [ ] Completed and validated
"
